epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.73917,0.96165,2.29139,0.01334,0.89831,0.65524,0.90384,0.66759,1.58483,0.91453,0.01158,0,0,0
2,9.12334,1.16841,2.44349,0.01395,0.89607,0.65823,0.90211,0.66657,1.57842,0.91495,0.01151,1.18884e-06,1.18884e-06,1.18884e-06
3,9.53016,0.9874,2.77971,0.02109,0.88901,0.66421,0.9056,0.66663,1.57746,0.91506,0.01149,2.37071e-06,2.37071e-06,2.37071e-06
4,10.0502,1.41819,2.23978,0.02995,0.86951,0.66231,0.90564,0.66501,1.58371,0.92211,0.01145,3.5387e-06,3.5387e-06,3.5387e-06
5,10.496,1.33434,3.04629,0.02115,0.86951,0.66231,0.90564,0.66501,1.58371,0.92211,0.01145,4.68598e-06,4.68598e-06,4.68598e-06
6,10.9496,1.11338,2.0433,0.01443,0.86301,0.67591,0.90202,0.66282,1.51435,1.06043,0.01091,5.80585e-06,5.80585e-06,5.80585e-06
7,11.3748,1.29174,2.7521,0.01272,0.86301,0.67591,0.90202,0.66282,1.51435,1.06043,0.01091,6.89181e-06,6.89181e-06,6.89181e-06
8,11.8387,1.0439,2.24889,0.01044,0.86696,0.67783,0.90206,0.66258,1.55658,1.00824,0.01131,7.93757e-06,7.93757e-06,7.93757e-06
9,12.2856,1.19238,3.29889,0.01791,0.86696,0.67783,0.90206,0.66258,1.55658,1.00824,0.01131,8.93711e-06,8.93711e-06,8.93711e-06
10,12.7565,1.09047,2.49817,0.01033,0.8365,0.68655,0.899,0.67497,1.53509,1.01348,0.01117,9.88471e-06,9.88471e-06,9.88471e-06
11,13.2142,1.19639,2.83269,0.01502,0.8365,0.68655,0.899,0.67497,1.53509,1.01348,0.01117,1.0775e-05,1.0775e-05,1.0775e-05
12,13.6607,0.95363,2.23156,0.01093,0.8365,0.68655,0.899,0.67497,1.53509,1.01348,0.01117,1.1603e-05,1.1603e-05,1.1603e-05
13,14.1549,1.08889,2.25325,0.01717,0.83807,0.68671,0.89881,0.68338,1.55011,1.02404,0.01106,1.23642e-05,1.23642e-05,1.23642e-05
14,14.6206,1.27743,2.33387,0.01645,0.83807,0.68671,0.89881,0.68338,1.55011,1.02404,0.01106,1.30544e-05,1.30544e-05,1.30544e-05
15,15.0525,1.03889,2.04998,0.01281,0.83807,0.68671,0.89881,0.68338,1.55011,1.02404,0.01106,1.36699e-05,1.36699e-05,1.36699e-05
16,15.5176,1.17765,2.64841,0.0257,0.84134,0.68597,0.8882,0.6833,1.52522,1.03312,0.01067,1.42078e-05,1.42078e-05,1.42078e-05
17,15.9628,1.2148,2.66984,0.01703,0.84134,0.68597,0.8882,0.6833,1.52522,1.03312,0.01067,1.46653e-05,1.46653e-05,1.46653e-05
18,16.3946,1.29295,2.43448,0.01669,0.84134,0.68597,0.8882,0.6833,1.52522,1.03312,0.01067,1.50404e-05,1.50404e-05,1.50404e-05
19,16.8219,1.13651,2.28505,0.0123,0.84134,0.68597,0.8882,0.6833,1.52522,1.03312,0.01067,1.53316e-05,1.53316e-05,1.53316e-05
20,17.2796,1.13633,2.1612,0.01631,0.84393,0.68004,0.88682,0.6994,1.52476,1.05781,0.0104,1.55381e-05,1.55381e-05,1.55381e-05
21,17.7232,1.18112,3.30298,0.0208,0.84393,0.68004,0.88682,0.6994,1.52476,1.05781,0.0104,1.56595e-05,1.56595e-05,1.56595e-05
22,18.1554,0.93491,2.30286,0.01476,0.84393,0.68004,0.88682,0.6994,1.52476,1.05781,0.0104,1.56963e-05,1.56963e-05,1.56963e-05
23,18.6003,1.59471,2.67081,0.01896,0.84393,0.68004,0.88682,0.6994,1.52476,1.05781,0.0104,1.56492e-05,1.56492e-05,1.56492e-05
24,19.0802,1.26596,2.35093,0.01501,0.96794,0.62439,0.88621,0.69808,1.52134,1.08771,0.01028,1.55199e-05,1.55199e-05,1.55199e-05
25,19.5418,1.0161,2.76272,0.01547,0.96794,0.62439,0.88621,0.69808,1.52134,1.08771,0.01028,1.53105e-05,1.53105e-05,1.53105e-05
26,19.973,1.1493,2.41403,0.01773,0.96794,0.62439,0.88621,0.69808,1.52134,1.08771,0.01028,1.50238e-05,1.50238e-05,1.50238e-05
27,20.3978,1.26657,2.16226,0.01477,0.96794,0.62439,0.88621,0.69808,1.52134,1.08771,0.01028,1.4663e-05,1.4663e-05,1.4663e-05
